Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
08.02.2022;BRH2022;лонг;90,90;3;91,45;take;0,01;7,55;1245,2;148219,49
08.02.2022;BRH2022;лонг;90,65;1;91,20;take;0,01;7,55;415,07;148634,56
08.02.2022;BRH2022;лонг;90,69;3;91,20;take;0,01;7,55;1154,64;149789,2
08.02.2022;GDH2022;лонг;1824,50;1;1827,00;закрыл вруную;1;76,21;190,53;149979,73
09.02.2022;RIH2022;шорт;152380,00;1;153200,00;закрыл вруную;10;15,3;-1254,6;148725,13
09.02.2022;RIH2022;лонг;153400,00;1;152460,00;закрыл вруную;10;15,3;-1438,2;147286,93
09.02.2022;RIH2022;лонг;153680,00;1;152460,00;закрыл вруную;10;15,3;-1866,6;145420,33
09.02.2022;RIH2022;лонг;153300,00;1;153550,00;закрыл вруную;10;15,3;382,5;145802,83
11.02.2022;SFH2022;лонг;446,11;10;448,55;закрыл вруную;0,01;0,74;1816,9;147619,73
11.02.2022;SFH2022;лонг;446,11;10;450,00;take;0,01;0,74;2896,61;150516,34
11.02.2022;BRH2022;лонг;91,17;3;92,50;take;0,01;7,55;3011,12;153527,46
11.02.2022;BRH2022;лонг;91,37;3;92,50;take;0,01;7,55;2558,32;156085,78
11.02.2022;BRH2022;лонг;91,50;3;92,50;take;0,01;7,55;2264;158349,78
11.02.2022;GDH2022;лонг;1826,30;1;1840,00;take;1;76,21;1044,08;159393,86
11.02.2022;GDH2022;лонг;1826,30;1;1840,00;take;1;76,21;1044,08;160437,94
11.02.2022;GDH2022;лонг;1826,30;1;1847,00;take;1;76,21;1577,55;162015,49
11.02.2022;BRH2022;шорт;92,45;3;92,73;stop;0,01;7,55;-633,92;161381,57
11.02.2022;SIH2022;шорт;77567,00;1;75900,00;take;1;1;1667;163048,57
11.02.2022;SIH2022;шорт;76850,00;1;75900,00;take;1;1;950;163998,57
11.02.2022;GZH2022;лонг;31870,00;1;32650,00;закрыл вруную;1;1;780;164778,57
11.02.2022;RIH2022;лонг;140480,00;1;145300,00;take;10;15,3;7374,6;172153,17
11.02.2022;RIH2022;лонг;139700,00;1;144350,00;закрыл вруную;10;15,3;7114,5;179267,67
11.02.2022;RIH2022;лонг;140200,00;1;144350,00;закрыл вруную;10;15,3;6349,5;185617,17
11.02.2022;BRH2022;лонг;94,53;3;93,70;stop;0,01;7,55;-1879,12;183738,05
11.02.2022;BRH2022;лонг;94,60;3;93,70;stop;0,01;7,55;-2037,6;181700,45
15.02.2022;SIH2022;шорт;76982,00;3;76004,00;закрыл вруную;1;1;2934;184634,45
15.02.2022;SIH2022;шорт;77083,00;3;75800,00;take;1;1;3849;188483,45
15.02.2022;SIH2022;шорт;77348,00;3;75800,00;take;1;1;4644;193127,45
16.02.2022;BRH2022;шорт;95,40;1;92,77;stop;0,01;7,61;2001,3;195128,75
16.02.2022;BRH2022;шорт;94,77;1;92,09;закрыл в руччную;0,01;7,61;2039,35;197168,1
17.02.2022;BRH2022;шорт;93,61;1;93,01;закрыл в руччную;0,01;7,61;456,57;197624,67
17.02.2022;BRH2022;шорт;94,04;1;93,01;закрыл в руччную;0,01;7,61;783,78;198408,45
17.02.2022;RIH2022;шорт;146650,00;1;147000,00;закрыл в руччную;10;15,06;-527,08;197881,37
17.02.2022;RIH2022;лонг;146300,00;1;146160,00;закрыл в руччную;10;15,06;-210,83;197670,54
17.02.2022;RIH2022;лонг;146060,00;1;146160,00;закрыл в руччную;10;15,06;150,6;197821,14
17.02.2022;RIH2022;лонг;145340,00;1;146250,00;закрыл в руччную;10;15,06;1370,42;199191,56
17.02.2022;BRH2022;лонг;92,62;1;93,18;закрыл в руччную;0,01;7,61;426,13;199617,69
17.02.2022;BRH2022;шорт;93,18;1;92,35;закрыл в руччную;0,01;7,61;631,59;200249,28
17.02.2022;BRH2022;шорт;93,28;1;92,35;закрыл в руччную;0,01;7,61;707,69;200956,97
17.02.2022;BRH2022;лонг;92,35;1;92,50;закрыл в руччную;0,01;7,61;114,14;201071,11
